timestamp,prediction,text
2026-04-02 18:47:30,0,"Software Engineer at Food52 New York City fast growing James Beard ""               ""Award winning online food community. Responsibilities designing building ""               ""scalable web applications Python Django PostgreSQL. Requirements 3 years ""               ""experience Python REST APIs microservices AWS or GCP. Benefits competitive ""               ""salary health dental vision insurance 401k flexible remote work vacation"
2026-04-02 18:48:03,1,"Customer Service Representative work from home position available immediately ""               ""no experience necessary will train all accepted. Earn 200 to 800 per week ""               ""processing orders from home. Must have computer and internet access. ""               ""Weekly pay guaranteed. Send name address phone number to receive free starter ""               ""kit. Limited positions available apply today before offer expires."
2026-04-02 18:48:22,1,"Data Entry Clerk needed urgently high pay flexible hours work from anywhere. ""               ""No experience required full training provided. Earn up to 1500 per week part time. ""               ""Process customer orders and surveys online. To get started pay small refundable ""               ""registration and processing fee 49 dollars. Hundreds of positions open apply now"
2026-04-02 18:50:04,1,jheew position name sales associate b2b b2c sales industry building materials manufacturing company exp req 0 2 years alarficsrion zsba jk pary oogree location chennai coimbatore pondicherry trichy madurai salem tanjore krishnagiri 8 www more information heewcareerpartner com 9150540660 7708767827
2026-04-02 18:54:37,0,mine craft we re hiring editor requirements age 23 30 exp 2 years loc madurai degree any 63815 7 50 apply com apply now
2026-04-07 04:43:19,1,hkhkj
2026-04-07 04:50:37,1,asdfghjkl
2026-04-07 06:24:25,0,"Data Analyst FinanceWorld Chicago IL. Join analytics team to drive data driven ""               ""decisions. Analyze large datasets build dashboards Tableau Power BI write SQL ""               ""queries present findings to stakeholders. Requirements bachelor degree statistics ""               ""mathematics 2 years SQL Python Excel proficiency. Benefits 75000 to 95000 ""               ""salary medical dental paid time off."
2026-04-07 06:27:32,1,"""Data Entry Clerk needed urgently high pay flexible hours work from anywhere. ""               ""No experience required full training provided. Earn up to 1500 per week part time. ""               ""Process customer orders and surveys online. To get started pay small refundable ""               ""registration and processing fee 49 dollars. Hundreds of positions open apply now."""
2026-04-07 07:00:21,1,"Customer Service Representative work from home position available immediately  no experience necessary , training provided , Earn 200 to 800 per week , processing orders from home.  Must have computer and internet access. "" Weekly pay guaranteed.    Send name address phone number to receive free starter kit. Limited positions available apply today before offer expires."
2026-04-07 07:01:05,1,"Cosmo logistics pvt ltd. Customer Service Representative work from home position available immediately  no experience necessary , training provided , Earn 200 to 800 per week , processing orders from home.  Must have computer and internet access. "" Weekly pay guaranteed.    Send name address phone number to receive free starter kit. Limited positions available apply today before offer expires."
2026-04-07 07:01:18,1,"Cosmo logistics pvt ltd. #Hiring  Customer Service Representative work from home position available immediately  no experience necessary , training provided , Earn 200 to 800 per week , processing orders from home.  Must have computer and internet access. "" Weekly pay guaranteed.    Send name address phone number to receive free starter kit. Limited positions available apply today before offer expires."
2026-04-07 07:08:25,1,"Cosmo logistics pvt ltd. #Hiring  Customer Service Representative work from home position available immediately  no experience necessary , training provided , Earn 200 to 800 per week , processing orders from home.  Must have computer and internet access. "" Weekly pay guaranteed.    Send name address phone number to receive free starter kit. Limited positions available apply today before offer expires."
